
==================== Edge Cut ====================
ParHIP FASTMESH                                   : 57810
ParHIP ULTRAFASTMESH                              : 67400

dKaMinPar create_default_context                  : 55130
dKaMinPar create_strong_context                   : 51129

ParMETIS                                          : 56696

PT-SCOTCH SCOTCH_STRATBALANCE                     : 53672
PT-SCOTCH SCOTCH_STRATQUALITY                     : 54222
PT-SCOTCH SCOTCH_STRATSPEED                       : 52448

Zoltan                                            : 61187
Zoltan2 combinatorial jacobi 4                    : 100490
Zoltan2 combinatorial jacobi 6                    : 100598
Zoltan2 combinatorial jacobi 8                    : 93739
Zoltan2 combinatorial muelu 4                     : 97976
Zoltan2 combinatorial muelu 6                     : 93739
Zoltan2 combinatorial muelu 8                     : 98003
Zoltan2 combinatorial polynomial 4                : 98212
Zoltan2 combinatorial polynomial 6                : 100625
Zoltan2 combinatorial polynomial 8                : 90745
Zoltan2 generalized jacobi 4                      : 92024
Zoltan2 generalized jacobi 6                      : 98350
Zoltan2 generalized jacobi 8                      : 99532
Zoltan2 generalized muelu 4                       : 92350
Zoltan2 generalized muelu 6                       : 92387
Zoltan2 generalized muelu 8                       : 98350
Zoltan2 generalized polynomial 4                  : 92381
Zoltan2 generalized polynomial 6                  : 92350
Zoltan2 generalized polynomial 8                  : 93777


==================== Boundary ====================
Zoltan2 combinatorial polynomial 8                : avg: 264613.40  diff: 58412.00  avg_dev: 18167.12  std_dev: 21010.18
Zoltan2 generalized jacobi 4                      : avg: 264613.40  diff: 57074.00  avg_dev: 18129.52  std_dev: 20738.74
Zoltan2 generalized jacobi 6                      : avg: 264613.40  diff: 53211.00  avg_dev: 12750.80  std_dev: 15671.38
Zoltan2 generalized jacobi 8                      : avg: 264613.40  diff: 57488.00  avg_dev: 13214.60  std_dev: 16283.51
Zoltan2 generalized muelu 4                       : avg: 264613.40  diff: 56776.00  avg_dev: 18109.72  std_dev: 20719.23
Zoltan2 generalized muelu 6                       : avg: 264613.40  diff: 56851.00  avg_dev: 18124.72  std_dev: 20739.16
Zoltan2 generalized muelu 8                       : avg: 264613.40  diff: 53211.00  avg_dev: 12750.80  std_dev: 15671.38
Zoltan2 generalized polynomial 4                  : avg: 264613.40  diff: 56851.00  avg_dev: 18124.72  std_dev: 20739.16
Zoltan2 generalized polynomial 6                  : avg: 264613.40  diff: 56776.00  avg_dev: 18109.72  std_dev: 20719.23
Zoltan2 generalized polynomial 8                  : avg: 264613.40  diff: 51388.00  avg_dev: 15879.12  std_dev: 18007.05


==================== Time: Total, Solve Only (sec) ====================
ParHIP FASTMESH                                   : 0.1199, 0.1196
ParHIP ULTRAFASTMESH                              : 0.0817, 0.0815

dKaMinPar create_default_context                  : 0.3433, 0.3179
dKaMinPar create_strong_context                   : 0.6031, 0.5798

ParMETIS                                          : 0.0335, 0.0335

PT-SCOTCH SCOTCH_STRATBALANCE                     : 1.6681, 1.6676
PT-SCOTCH SCOTCH_STRATQUALITY                     : 1.8037, 1.8023
PT-SCOTCH SCOTCH_STRATSPEED                       : 1.0322, 1.0319

Zoltan                                            : 0.4570, 0.3623
Zoltan2 combinatorial jacobi 4                    : 0.6947, 0.6058
Zoltan2 combinatorial jacobi 6                    : 1.1006, 1.0125
Zoltan2 combinatorial jacobi 8                    : 1.3820, 1.2934
Zoltan2 combinatorial muelu 4                     : 0.3350, 0.2486
Zoltan2 combinatorial muelu 6                     : 0.3529, 0.2648
Zoltan2 combinatorial muelu 8                     : 1.4056, 1.3164
Zoltan2 combinatorial polynomial 4                : 0.6092, 0.5181
Zoltan2 combinatorial polynomial 6                : 0.6375, 0.5474
Zoltan2 combinatorial polynomial 8                : 0.8175, 0.7288
Zoltan2 generalized jacobi 4                      : 0.6781, 0.5907
Zoltan2 generalized jacobi 6                      : 1.0819, 0.9904
Zoltan2 generalized jacobi 8                      : 1.4586, 1.3666
Zoltan2 generalized muelu 4                       : 1.7872, 1.6982
Zoltan2 generalized muelu 6                       : 1.4111, 1.3182
Zoltan2 generalized muelu 8                       : 4.7589, 4.6686
Zoltan2 generalized polynomial 4                  : 0.4878, 0.3964
Zoltan2 generalized polynomial 6                  : 0.6414, 0.5509
Zoltan2 generalized polynomial 8                  : 0.7489, 0.6618


